YEAR;MONTH;DAY;HOUR;MINUTES;SECONDS;LONGITUDE;LATITUDE;DEPTH;MAG_TYPE;MAG;EVENT_NAME
2017; 7;15;15;54;21.00; 120.4625;  21.9291; 34.5;mb   ;4.4;TAIWAN REGION
2017; 5;24;13;10;54.00; 120.5030;  23.3816; 14.0;Mwr  ;4.5;TAIWAN
2017; 4;29;16;51; 1.00; 120.9862;  21.2614; 34.6;mb   ;4.1;TAIWAN REGION
2017; 3; 2; 1;27;35.00; 120.2533;  20.3871; 10.0;mb   ;4.7;PHILIPPINE ISLANDS REGION
2017; 2;10;17;12;53.00; 120.2242;  22.8245; 15.9;Mww  ;5.3;TAIWAN
2017; 1;19; 3;42;23.00; 120.0873;  21.6263; 38.1;mb   ;4.6;TAIWAN REGION
2017; 1;11;17;31; 4.00; 120.6499;  23.1228; 10.0;mb   ;4.3;TAIWAN
2016;12;17; 5;42;46.00; 120.9544;  21.7177; 28.6;mb   ;4.2;TAIWAN REGION
2016;12;10;22; 8;38.00; 120.6258;  21.5638; 10.0;mb   ;4.4;TAIWAN REGION
2016;11;17; 3;53;51.00; 120.1043;  21.2298; 24.7;mb   ;4.6;TAIWAN REGION
2016; 8;22;19; 8;14.00; 120.9679;  22.9839; 10.0;mb   ;4.2;TAIWAN
2016; 8;19; 7;38;57.00; 120.7932;  23.3387; 12.3;mb   ;4.2;TAIWAN
