YEAR; MONTH; DAY; HOUR; MIN; SEC; LONGITUDE; LATITUDE; DEPTH; EXP(Nm); M0; MAG; Mrr; Mtt; Mpp; Mrt; Mtp; Mpr; Str1; Dip1; Rake1; Str2; Dip2; Rake2
2016; 7;31;16;35; 3.50; 141.9290;  38.9208; 51.0;14;4.090;3.7; 2.074; 0.252;-2.325; 1.485;-0.390; 3.081;  23.00;74.00; 100.00; 172.00;19.00;  60.00
2016; 7;31;17;17;53.78; 130.6507;  28.4967; 60.0;15;4.730;4.4;-2.678;-1.986; 4.664; 0.953; 2.040;-1.514; 231.00;51.00; -32.00; 343.00;65.00;-136.00
2016; 7;31;17;17;53.90; 130.7100;  28.3700; 27.5;16;2.150;4.8;-2.010;-0.111; 2.120; 0.360; 0.282;-0.379; 199.00;42.00; -73.00; 356.00;51.00;-105.00
2016; 7;31;18;16;44.60; 163.8600; -10.4900; 12.0;16;2.005;4.8;-0.673; 2.330;-1.660;-0.098;-0.149; 0.083; 137.00;88.00;  -5.00; 227.00;85.00;-178.00
2016; 7;31;21;14;30.10;  67.3600; -20.1200; 16.5;17;0.929;5.2;-0.091; 0.849;-0.750; 0.202;-0.408;-0.131;  58.00;77.00; 176.00; 149.00;86.00;  13.00
2016; 7;31;22;31;26.81; 143.2998;  42.5912; 94.9;15;1.070;4.0;-0.414; 0.660;-0.246; 0.637; 0.052; 0.640; 118.00;27.00; -28.00; 233.00;78.00;-114.00
2016; 7;31;23;40; 0.20; 117.8111;  -8.2161; 21.0;17;1.890;5.5; 0.376;-0.673; 0.297;-1.148; 0.049;-1.389; 119.06;15.75; 164.39; 224.11;85.81;  74.81
2016; 7;31;23;40; 2.90; 117.9000;  -8.1100; 23.0;17;2.195;5.5; 0.125;-0.992; 0.860;-1.640;-0.131;-1.150; 134.00;24.00; 172.00; 231.00;87.00;  67.00
2016; 8; 1; 4;46;34.30;  48.0647;  40.0724; 16.0;16;3.970;5.0; 3.329; 0.228;-3.556;-0.383; 1.908; 0.349; 162.88;41.77;  97.97; 332.24;48.72;  82.94
2016; 8; 1; 4;46;37.50;  47.9900;  39.9800; 28.4;16;4.877;5.1; 4.780;-0.969;-3.810; 0.499; 1.750; 1.180; 144.00;41.00;  74.00; 345.00;51.00; 103.00
2016; 8; 1; 5;51;30.90;-172.4800; -17.9800; 22.0;16;3.578;5.0; 2.240; 0.565;-2.810; 1.900;-0.869; 1.350;  40.00;68.00; 117.00; 167.00;34.00;  42.00
2016; 8; 1; 7;42;51.10;  82.5483; -23.9511;  4.0;17;2.420;5.5; 1.380;-2.394; 1.014;-1.095; 0.415; 0.371;  74.51;33.26;  57.33; 291.99;62.51; 109.50
2016; 8; 1; 7;42;53.20;  82.6300; -23.8400; 12.0;17;2.994;5.6; 2.850;-3.060; 0.210;-0.383; 0.275;-0.123;  98.00;42.00;  95.00; 271.00;49.00;  86.00
2016; 8; 1;10; 1; 9.20;  94.8700;  21.2500;128.1;16;4.007;5.0; 3.070;-2.440;-0.630; 1.230;-2.490;-0.775;  79.00;55.00; 123.00; 210.00;47.00;  52.00
2016; 8; 1;10;29;24.60;  82.5100; -23.7600; 14.7;16;3.317;4.9; 3.120;-3.390; 0.270;-0.458;-0.137;-0.401;  95.00;41.00; 101.00; 261.00;50.00;  80.00
2016; 8; 2; 1;52;34.33; 137.3172;  32.4175;417.6;15;3.810;4.3;-1.804; 3.053;-1.250; 1.576;-0.911;-2.056;  67.00;37.00;-150.00; 313.00;72.00; -56.00
2016; 8; 2; 2;45;26.51; 149.1098;  44.5760; 30.0;15;2.880;4.2; 0.192; 1.610;-1.801; 0.777;-2.135; 0.543; 160.00;72.00;  -3.00; 251.00;88.00;-162.00
2016; 8; 2;16;10;35.48; 140.3925;  35.4683; 27.0;15;2.850;4.2;-0.818;-0.802; 1.620; 1.601;-0.168; 1.888; 214.00;81.00; -65.00; 322.00;27.00;-160.00
2016; 8; 2;23;33;19.48; 149.0385;  44.4037; 30.0;15;3.270;4.3; 2.474;-0.944;-1.530; 1.416;-1.036; 1.717;  39.00;66.00;  91.00; 216.00;24.00;  87.00
2016; 8; 3; 3; 3; 8.27; 152.6677;  47.0722; 30.0;15;1.350;4.0;-0.487; 1.377;-0.890;-0.373; 0.455; 0.300; 120.00;77.00; -28.00; 217.00;63.00;-165.00
